f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
3.10124477577468e-06-8.98347347555023e-07i,-1.39348411322746e-05-4.57267007805559e-07i,-3.08398388511984e-06-1.93384466037572e-06i,-7.64181158351493e-06+1.67767859608755e-06i,1.49618259726653e-05+5.36388787267107e-07i,5.2183694762831e-07-8.62428786814758e-07i,-6.29660548947351e-06-1.19792499429682e-07i,1.19652179797012e-07+1.18679940894947e-06i,-2.73802826774778e-06+1.11183087486414e-06i,3.85287002454029e-06+2.79588854150794e-06i,5.21834773487875e-06-1.55444326824866e-07i,1.29186838297801e-07-1.0656314829903e-06i,-4.33938375698902e-07-8.58638760565412e-07i,-2.02200891306851e-06-7.88408364436343e-08i,4.81257007797138e-08+3.35650561088045e-07i,5.91267174106102e-07+1.49956642106788e-07i,4.13126454961493e-07-7.46927621007689e-08i,1.21506379746974e-07-2.3962630061939e-07i,-1.46536254300681e-07-2.90832853379759e-08i,2.79373110896759e-07-2.8619497238448e-08i
9.15113261542228e-06-8.21049834472302e-07i,-3.09020001112424e-05-4.2583610255209e-07i,-3.51817620605662e-06-1.91064029905943e-06i,-1.22125116383318e-05+1.61656454773438e-06i,2.05454771398664e-05+5.25936859277175e-07i,6.36675734071629e-07-9.35185164113547e-07i,-6.55093366534727e-06-1.53877319232031e-07i,2.24988038877645e-07+8.88128790682081e-07i,-2.27045406633457e-06+1.08523402348552e-06i,2.97353600806869e-06+2.48796568272305e-06i,4.3025256502483e-06-8.44969125528876e-08i,4.76446748123841e-08-8.87288788641207e-07i,-6.5940847424299e-07-8.04381292232197e-07i,-1.4969021057588e-06+7.10863956351581e-09i,8.57923554232092e-08+3.1244990470693e-07i,4.52713317292623e-07+1.23846059711009e-07i,2.95981157614397e-07-6.08151430474162e-08i,7.29981535917976e-08-1.93863345154691e-07i,-3.61595555342602e-08-5.43926945049608e-08i,1.90193378523789e-07-5.76281537188385e-08i
3.07152525260982e-06-9.27179177785523e-07i,-1.3709047092767e-05-4.56495089942588e-07i,-1.74139264120804e-06-5.58603304926104e-08i,-6.87147767902598e-06+1.19823605434262e-06i,1.39008739338805e-05+5.18340775280115e-07i,3.07457442934451e-07-7.81891793663626e-07i,-5.44440214217399e-06-4.51932785035923e-09i,-2.17569963906088e-06+2.62467144739205e-06i,-9.53716125327181e-07+1.15414535253953e-07i,-1.21480794156286e-06+5.27793990127688e-07i,1.15674401455339e-06+2.17221453410616e-06i,3.60672335837395e-06+2.3971173134662e-07i,1.13211899496336e-07-8.86282727234848e-07i,-1.82146915274194e-06-1.49731324844365e-07i,4.36664079330527e-10+2.97614861007906e-07i,5.1726157583908e-07+2.23642059098218e-07i,4.48790782017751e-07-1.07310096209993e-07i,1.8791466681091e-07-2.02688211305851e-07i,-1.18259825873721e-07+1.74843745805706e-08i,8.7650346664459e-08+1.24259682172941e-07i
2.96535032641216e-06-7.91113424963342e-07i,-1.32515654616839e-05-4.03355764309539e-07i,-7.64992894905866e-06+5.48620590840553e-07i,-6.97832683497328e-06+3.31577765647559e-06i,1.36389532148325e-05+5.64930255147726e-07i,-3.54722843541552e-07-2.18486283283648e-06i,-5.48809133353861e-06-2.95925744398372e-07i,3.10867397875875e-07+5.14114592615376e-07i,-2.39777100036571e-06+1.00511721207107e-06i,4.37489544505112e-06+9.39234057512973e-07i,2.93200967435422e-06-1.66756171233277e-06i,-6.30187306301973e-07-1.12145100139007e-06i,-1.62706351703587e-06-2.97535715282891e-07i,-4.90552313639197e-07+3.60083792714619e-07i,2.98238460189677e-07+3.24901126372121e-07i,4.64976934811786e-07+1.05644145640707e-07i,2.29698029999861e-07-1.28556919041097e-08i,1.99081462394763e-07-3.6781596197958e-08i,3.06340797393496e-07-1.17810358431052e-07i,3.00450693373432e-07-1.66049967063708e-07i
3.93384440233963e-06-9.89814179363517e-07i,-1.69124349324186e-05-4.99245935731828e-07i,-5.11258649191657e-06-3.13481017086908e-06i,-9.0465453385775e-06+1.89895774813335e-06i,1.56727880633563e-05+5.3095817969823e-07i,5.38301447452708e-07-7.79055396670043e-07i,-5.86310961928253e-06-4.32517377728431e-08i,-7.28223466588046e-07+2.15535347209929e-06i,-2.35999533690894e-06+1.10318432242037e-06i,3.73637097082987e-06+2.36426546028717e-06i,4.6415649160345e-06-8.83467877157807e-08i,1.29959856852887e-06-1.98912606712911e-06i,-9.93055330677139e-08-8.3623387144299e-07i,-1.88290178404401e-06-1.54389997296068e-07i,2.9241432869704e-08+3.33156883423535e-07i,5.75043794482553e-07+2.15919585344256e-07i,4.49468574161424e-07-1.52521107292401e-07i,1.56273586416416e-07-2.29788729164809e-07i,-1.08557670209051e-07-2.4223286734881e-08i,2.02200880715196e-07-3.13548460520667e-08i
2.9989098811873e-06-8.42976254606272e-07i,-1.29023680547317e-05-4.40516092198201e-07i,-6.34101431032909e-06-1.72599788940726e-06i,-7.6211772261325e-06+1.82947185384935e-06i,1.32296837070226e-05+6.09237551566366e-07i,-3.01620326102867e-07-2.13378058165155e-06i,-5.27773783696158e-06-3.16059846428922e-07i,2.45615923623134e-07+5.64807983035191e-07i,-2.12935707060093e-06+1.11964452122843e-06i,4.49941393748509e-06+6.24910719466793e-07i,4.43981542334225e-06-1.42630693171624e-07i,-4.50131493253387e-07-1.07996033745164e-06i,-1.51877584947729e-06-3.46536300126354e-07i,-5.83334234725834e-07+4.14075837015827e-07i,2.64049898861821e-07+3.29969513672836e-07i,4.45989435117165e-07+1.11988477084481e-07i,2.39151450575418e-07-5.35496013913047e-08i,1.20070570446058e-07-6.697658698309e-08i,2.31491380410653e-07-3.71380119662737e-08i,2.66069070096957e-07-1.17612157737916e-07i
3.94414404066372e-06-8.97288131450532e-07i,-1.70916814872999e-05-4.5474167945916e-07i,-2.40444618499308e-06-9.01731005921753e-07i,-8.49365897016027e-06+1.48770771823643e-06i,1.66749064438301e-05+5.57564202369088e-07i,5.33677029070758e-07-9.21702353046657e-07i,-6.55699748746257e-06-1.3038271057794e-07i,1.32438114969168e-07+1.19397633571273e-06i,-2.47934388838938e-06+1.31182984915646e-06i,1.57653848932317e-06+2.59244065001956e-06i,4.46074127417106e-06+5.85984109065122e-09i,2.81917676426637e-07-1.25991059618368e-06i,-2.74690949967509e-07-8.57037846451146e-07i,-1.99587874468027e-06-1.23015519855958e-07i,3.31212357403862e-08+3.24626747043271e-07i,5.5797777032754e-07+1.5829863885233e-07i,3.86518469036169e-07-7.42719539493299e-08i,1.54208021549441e-07-2.19373172678195e-07i,-1.29093078491993e-07-2.93191493887595e-09i,1.98948545225973e-07+1.08697684812391e-08i
2.74787822327534e-06-1.11818874437101e-06i,-1.25228201904908e-05-5.38666114098743e-07i,-3.66506381617564e-06-2.2765448948421e-06i,-7.1883846029878e-06+1.63278222086409e-06i,1.33242914231047e-05+5.00557669898163e-07i,3.6868698202469e-07-7.93242691625012e-07i,-4.70182105278661e-06-1.61321574366691e-06i,-5.13184606439565e-06-2.77097443105928e-07i,-2.39474970777733e-06+1.0360408597274e-06i,3.75590697131458e-06+2.49837550418461e-06i,4.17796555755857e-06+2.08580540099702e-06i,4.77648826626641e-06-2.90601676137401e-10i,2.88475656092636e-08-8.36484801807885e-07i,-1.95807395875673e-06-1.51817479687403e-07i,2.12375631418302e-08+3.43072160596885e-07i,7.99749057371827e-07+2.26943604692833e-07i,7.80844341766146e-07-1.11006449094065e-07i,1.96570549248607e-07-2.43820458298557e-07i,-1.43099522064607e-07-2.34687248152745e-08i,2.32187777389436e-07-2.93079639852964e-08i
2.89023426961501e-06-9.00190812614197e-07i,-1.36781173715579e-05-4.83411124350486e-07i,-7.34986247638241e-06+7.28082231884234e-07i,-1.82894683097127e-06+1.97770725786873e-06i,1.60269086425563e-05+5.00464094260821e-07i,7.70461278254629e-07-7.37501753327779e-07i,-7.44134995016305e-06-1.17791166475457e-07i,4.12082001243126e-07+9.17708320937463e-07i,-4.19640571710998e-06+7.9401510708552e-07i,6.53753488565332e-06+5.41335086090355e-07i,1.66048370211599e-06-6.29712134723746e-07i,-5.54204761588175e-08-9.23574195725585e-07i,-2.59639582841637e-06-4.03705727191844e-07i,-9.68132065309479e-07+5.22972107407943e-07i,2.35519308645912e-07+5.25906103819687e-07i,8.78127224374562e-07+1.31575132595237e-07i,-2.67034127192273e-07+3.38568401489623e-07i,1.00075322205457e-06+2.1492250322674e-07i,5.39594022898122e-07-4.19101869999256e-07i,1.81568619715855e-07-3.41250358310232e-07i
2.67393764773124e-06-7.37305191403341e-07i,-1.21787154612415e-05-3.74013108407076e-07i,-1.70044178991151e-06-1.757265331276e-07i,-6.81001620812252e-06+1.14531383795652e-06i,1.42308691191449e-05+4.85587994225415e-07i,4.91591311825559e-07-8.75193726121798e-07i,-6.48423350673451e-06-1.34053545858463e-07i,2.44921875574e-07+8.74352905047398e-07i,-2.30755270616985e-06+1.44954858754927e-06i,3.48811405565686e-08+2.49775312526967e-06i,4.81387432595473e-06+1.47445687329068e-07i,1.21473802731878e-07-1.00698602881029e-06i,-3.23483984510693e-07-7.47062088936278e-07i,-2.2516901045232e-06-8.8307015014461e-08i,1.67524377180316e-08+2.78834975853151e-07i,6.35645127252966e-07+1.19769640188134e-07i,4.39360607237728e-07-3.71612590495282e-08i,1.56890988250486e-07-1.94157425975077e-07i,-2.22036332804705e-07+4.14142788302274e-08i,2.6370986693493e-07+6.29347312539982e-08i
